tf_id,tot_l
85,978.735036481389
87,2204.83898717035
91,4193.88152847633
93,4637.39859235452
94,6866.40636782091
97,5318.89135797247
98,3974.27582951309
99,1845.72402130042
100,4132.74128890112
132,4557.66183693357
133,3804.09502428521
134,1374.58155581011
135,10239.3946565082
138,3510.94443445803
139,606.2296662226
140,1750.56918678238
141,5051.57991035536
143,4045.13952027486
145,5069.13947245895
146,4963.35633440865
149,8485.12125737917
150,3041.59673299862
151,5657.37768542461
154,10001.4769963989
155,4403.43433263831
156,8669.05963715005
164,3974.27582951309
165,4059.56839766127
167,6416.07560392081
168,1776.43683444367
171,4323.77371262302
174,4527.81774299693
175,3099.20281111257
176,7110.98098411306
177,6526.92992623625
182,8419.23330304388
183,5093.44216073089
184,1048.28607864622
185,5318.06903746854
186,7941.21595243163
190,3894.05638974777
191,1457.96008097799
192,5787.124179776
195,860.660816133067
197,10012.9128161813
198,5134.7145712466
203,2538.84522446479
204,2368.82763231662
206,5670.37326027172
207,3860.78942804713
208,452.025146456622
209,7551.3429149614
210,3190.49293324087
211,6947.79376074303
212,317.873226701984
214,5230.57410644831
215,4916.46530980136
219,8449.87511880154
220,190.834941325962
221,5530.78108064341
222,7775.66849851367
224,8954.35609248295
225,4711.59986951787
226,4516.63324860995
228,7408.8363495949
229,2212.26107893572
233,3683.80074846147
237,4527.81774299693
242,8429.87181762394
244,16189.5014421578
245,1217.1303082101
246,5832.40142593902
247,2707.3800336975
248,4865.32808966773
249,7045.05279069487
250,4216.92596766611
258,215.554142633682
259,3719.19844829764
260,2159.89664615408
261,3112.73124904761
265,3805.63415451968
268,9194.13002708297
269,2209.42453084322
270,1509.85216464913
272,1320.20375504296
274,1120.61642032185
276,5076.88349011175
277,713.49073794365
279,3007.70369002478
281,5728.38284229768
283,1105.37396608436
289,5713.61570947437
290,2187.7832427572
292,6994.36731793067
299,913.530350547099
300,1951.0076801979
303,4696.59040075111
304,641.190347648622
313,1211.93249799561
315,4013.21344763696
316,7393.84897417819
318,4468.51364633079
320,4915.3502312239
321,4440.59033061684
323,1341.26898362978
329,3073.38988199919
330,2704.97151194243
331,4857.76000492404
333,2994.87087762302
336,2945.98687854065
338,2745.82011645473
339,2424.54134831752
344,5650.96654074604
346,2224.3732181792
347,6477.88549181511
348,4509.02635003443
352,676.547834267145
356,2963.38592820855
357,9298.05381654857
359,4776.22206660764
363,5881.63094102458
364,10092.8777150325
368,2788.26458815287
374,6001.954510885
375,3965.65809754581
376,1746.39568212527
385,3622.29011680604
386,3622.29011680604
387,3622.29011680604
388,5304.89400797112
389,1851.31357958677
392,11193.197318909
393,11049.2020563983
394,14589.3933869231
395,3095.18460176054
